DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,,,,,,,,,,,,
01M015,P.S. 015 ROBERTO CLEMENTE,75%,93%,95%,95%,94%,95%,94%,94%,94%,95%,93%,95%,95%,95%,94%,98%,95%,100%,89%,,,,,,,,,,,,
01M019,P.S. 019 ASHER LEVY,96%,95%,96%,98%,97%,99%,96%,94%,94%,95%,90%,94%,93%,91%,96%,96%,95%,96%,89%,,,,,,,,,,,,
01M020,P.S. 020 ANNA SILVER,50%,92%,94%,98%,94%,97%,95%,93%,94%,95%,91%,94%,95%,96%,98%,97%,93%,96%,92%,,,,,,,,,,,,
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,29%,92%,95%,100%,92%,98%,92%,84%,87%,95%,83%,93%,93%,89%,94%,97%,95%,100%,93%,,,,,,,,,,,,
01M063,THE STAR ACADEMY - P.S.63,63%,94%,96%,95%,97%,99%,95%,95%,95%,95%,95%,95%,98%,97%,98%,99%,96%,96%,93%,,,,,,,,,,,,
01M064,P.S. 064 ROBERT SIMON,40%,97%,96%,95%,95%,97%,95%,95%,95%,99%,95%,93%,95%,95%,96%,95%,93%,95%,95%,,,,,,,,,,,,
01M110,P.S. 110 FLORENCE NIGHTINGALE,65%,92%,91%,98%,92%,97%,88%,89%,90%,97%,83%,93%,92%,93%,99%,93%,94%,96%,92%,,,,,,,,,,,,
01M134,P.S. 134 HENRIETTA SZOLD,37%,89%,95%,99%,93%,98%,98%,95%,94%,95%,89%,96%,94%,93%,96%,99%,98%,96%,91%,,,,,,,,,,,,
01M140,P.S. 140 NATHAN STRAUS,46%,94%,95%,97%,93%,97%,94%,90%,91%,93%,90%,93%,92%,92%,92%,95%,95%,93%,88%,,,,,,,,,,,,
01M142,P.S. 142 AMALIA CASTRO,97%,95%,96%,97%,95%,98%,97%,96%,96%,97%,96%,97%,96%,98%,96%,97%,96%,96%,94%,,,,,,,,,,,,
01M184,P.S. 184M SHUANG WEN,65%,93%,95%,98%,94%,99%,94%,88%,87%,96%,87%,91%,88%,89%,96%,98%,95%,97%,92%,,,,,,,,,,,,
01M188,P.S. 188 THE ISLAND SCHOOL,100%,100%,100%,100%,100%,100%,100%,99%,100%,99%,100%,100%,100%,100%,100%,100%,100%,99%,99%,,,,,,,,,,,,
01M292,ORCHARD COLLEGIATE ACADEMY,46%,94%,93%,97%,99%,96%,96%,97%,97%,94%,96%,94%,97%,97%,94%,96%,99%,97%,83%,,,,,,,,,,,,
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",19%,84%,74%,100%,84%,100%,100%,89%,89%,82%,89%,88%,94%,94%,94%,89%,89%,89%,89%,,,,,,,,,,,,
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,65%,93%,94%,98%,99%,99%,96%,98%,97%,95%,97%,95%,99%,99%,98%,98%,96%,96%,99%,,,,,,,,,,,,
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,81%,93%,94%,99%,96%,99%,99%,98%,98%,96%,99%,95%,96%,94%,99%,97%,97%,99%,87%,,,,,,,,,,,,
01M361,THE CHILDREN'S WORKSHOP SCHOOL,36%,91%,97%,98%,92%,100%,87%,90%,89%,99%,71%,97%,89%,94%,99%,93%,98%,99%,92%,,,,,,,,,,,,
01M363,NEIGHBORHOOD SCHOOL,65%,93%,92%,96%,96%,99%,94%,95%,98%,96%,93%,95%,98%,99%,97%,98%,93%,95%,96%,,,,,,,,,,,,
01M364,EARTH SCHOOL,67%,93%,96%,98%,96%,98%,93%,93%,94%,97%,90%,98%,95%,97%,98%,98%,97%,99%,97%,,,,,,,,,,,,
01M378,SCHOOL FOR GLOBAL LEADERS,63%,94%,95%,97%,96%,98%,97%,97%,97%,96%,96%,96%,97%,96%,97%,93%,97%,97%,93%,,,,,,,,,,,,
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,31%,91%,92%,95%,93%,98%,94%,92%,94%,94%,93%,93%,94%,94%,97%,95%,95%,97%,81%,,,,,,,,,,,,
01M450,EAST SIDE COMMUNITY SCHOOL,63%,94%,95%,98%,97%,99%,97%,97%,98%,97%,98%,95%,98%,98%,98%,99%,99%,98%,94%,,,,,,,,,,,,
01M458,FORSYTH SATELLITE ACADEMY,23%,89%,87%,100%,95%,100%,100%,100%,100%,92%,97%,94%,97%,97%,95%,97%,97%,100%,63%,,,,,,,,,,,,
01M509,MARTA VALLE HIGH SCHOOL,21%,93%,84%,96%,92%,96%,96%,92%,92%,96%,85%,92%,95%,95%,87%,92%,96%,96%,85%,,,,,,,,,,,,
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,51%,96%,95%,98%,98%,98%,98%,98%,99%,99%,98%,96%,98%,98%,98%,99%,97%,99%,85%,,,,,,,,,,,,
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",63%,88%,88%,96%,92%,98%,92%,87%,88%,94%,88%,88%,92%,92%,93%,91%,93%,93%,93%,,,,,,,,,,,,
01M650,CASCADES HIGH SCHOOL,12%,91%,96%,100%,96%,100%,100%,100%,96%,100%,95%,90%,96%,95%,95%,100%,96%,96%,61%,,,,,,,,,,,,
01M696,BARD HIGH SCHOOL EARLY COLLEGE,51%,91%,90%,99%,96%,99%,98%,98%,98%,94%,96%,96%,97%,95%,97%,98%,99%,98%,86%,,,,,,,,,,,,
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,52%,90%,92%,98%,93%,98%,97%,98%,97%,97%,94%,95%,97%,97%,99%,98%,99%,99%,87%,,,,,,,,,,,,
02M001,P.S. 001 ALFRED E. SMITH,66%,98%,96%,98%,97%,99%,98%,97%,97%,94%,97%,96%,95%,95%,95%,96%,96%,96%,89%,,,,,,,,,,,,
02M002,P.S. 002 MEYER LONDON,73%,96%,96%,98%,96%,99%,97%,95%,95%,99%,96%,96%,96%,98%,98%,96%,96%,97%,95%,,,,,,,,,,,,
02M003,P.S. 003 CHARRETTE SCHOOL,48%,94%,93%,97%,96%,99%,92%,91%,90%,96%,87%,97%,93%,94%,98%,97%,96%,96%,94%,,,,,,,,,,,,
02M006,P.S. 006 LILLIE D. BLAKE,52%,86%,86%,95%,87%,99%,86%,90%,88%,93%,79%,89%,90%,92%,96%,91%,91%,91%,96%,,,,,,,,,,,,
02M011,P.S. 011 WILLIAM T. HARRIS,62%,95%,95%,98%,96%,99%,96%,97%,99%,98%,96%,95%,98%,98%,98%,96%,98%,98%,96%,,,,,,,,,,,,
02M033,P.S. 033 CHELSEA PREP,64%,85%,89%,94%,79%,95%,80%,66%,60%,92%,63%,83%,77%,79%,66%,81%,87%,91%,93%,,,,,,,,,,,,
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,51%,94%,95%,99%,97%,99%,97%,98%,99%,97%,97%,93%,98%,98%,98%,98%,99%,99%,96%,,,,,,,,,,,,
02M041,P.S. 041 GREENWICH VILLAGE,69%,93%,92%,97%,94%,98%,95%,97%,98%,93%,94%,92%,95%,94%,96%,96%,97%,97%,98%,,,,,,,,,,,,
02M042,P.S. 042 BENJAMIN ALTMAN,95%,96%,95%,97%,97%,99%,99%,98%,99%,98%,99%,97%,98%,99%,99%,98%,97%,98%,93%,,,,,,,,,,,,
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,14%,95%,86%,100%,100%,100%,95%,95%,95%,100%,95%,90%,95%,84%,95%,95%,100%,100%,86%,,,,,,,,,,,,
02M051,P.S. 051 ELIAS HOWE,77%,97%,96%,98%,95%,96%,97%,97%,96%,96%,95%,96%,96%,96%,97%,97%,99%,98%,93%,,,,,,,,,,,,
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,59%,95%,95%,96%,96%,99%,95%,97%,97%,97%,93%,94%,99%,99%,98%,97%,97%,96%,100%,,,,,,,,,,,,
02M077,P.S. 77 LOWER LAB SCHOOL,93%,90%,90%,95%,92%,99%,86%,82%,83%,93%,77%,92%,85%,87%,94%,94%,94%,94%,96%,,,,,,,,,,,,
02M089,P.S. 89,56%,93%,92%,99%,95%,99%,96%,97%,99%,95%,93%,96%,97%,98%,81%,98%,94%,92%,98%,,,,,,,,,,,,
02M104,J.H.S. 104 SIMON BARUCH,74%,83%,85%,97%,88%,98%,96%,95%,95%,93%,89%,90%,94%,90%,94%,94%,94%,95%,83%,,,,,,,,,,,,
02M111,P.S. 111 ADOLPH S. OCHS,56%,88%,89%,96%,90%,97%,95%,95%,94%,95%,94%,94%,96%,95%,96%,92%,95%,93%,93%,,,,,,,,,,,,
02M114,EAST SIDE MIDDLE SCHOOL,60%,85%,85%,97%,88%,99%,90%,92%,94%,89%,86%,93%,94%,92%,99%,95%,95%,96%,95%,,,,,,,,,,,,
02M116,P.S. 116 MARY LINDLEY MURRAY,42%,90%,92%,96%,90%,97%,94%,92%,91%,94%,86%,95%,94%,95%,98%,92%,91%,96%,94%,,,,,,,,,,,,
02M124,P.S. 124 YUNG WING,100%,95%,95%,98%,95%,99%,97%,96%,97%,97%,96%,95%,95%,96%,98%,98%,96%,96%,93%,,,,,,,,,,,,
02M126,P.S. 126 JACOB AUGUST RIIS,51%,93%,94%,98%,94%,98%,95%,95%,94%,99%,92%,94%,93%,94%,97%,93%,98%,98%,90%,,,,,,,,,,,,
02M130,P.S. 130 HERNANDO DE SOTO,72%,94%,95%,98%,95%,98%,99%,97%,97%,98%,97%,95%,97%,97%,98%,97%,95%,95%,94%,,,,,,,,,,,,
02M131,M.S. 131,65%,95%,95%,98%,96%,99%,99%,97%,98%,96%,97%,96%,98%,98%,97%,98%,96%,98%,84%,,,,,,,,,,,,
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,29%,92%,88%,96%,95%,93%,96%,95%,95%,93%,93%,93%,93%,92%,95%,97%,97%,97%,86%,,,,,,,,,,,,
02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,32%,88%,93%,97%,97%,94%,97%,97%,96%,94%,97%,97%,96%,94%,97%,97%,98%,96%,82%,,,,,,,,,,,,
