location_code,location_name,average_rating
K001,P.S. 001 The Bergen,6.833333333333333
K002,Parkside Preparatory Academy,8.0
K003,P.S. 003 The Bedford Village,6.0
K004,P.S. K004,6.8
K005,P.S. 005 Dr. Ronald McNair,8.0
K006,Norma Adams Clemons Academy,7.0
K007,P.S. 007 Abraham Lincoln,7.4
K008,P.S. 008 Robert Fulton,8.428571428571429
K009,P.S. 009 Teunis G. Bergen,7.5
K010,"Magnet School of Math, Science and Design Technolo",7.25
K011,P.S. 011 Purvis J. Behan,7.411764705882353
K012,Dr. Jacqueline Peek-Davis School,6.5
K013,P.S. 013 Roberto Clemente,6.0
K014,J.H.S. 014 Shell Bank,8.166666666666666
K314,PS 314 Luis Munoz Marin,8.0
K015,P.S. 015 Patrick F. Daly,7.483870967741935
K016,P.S. 016 Leonard Dunkly,7.2
K017,P.S. 017 Henry D. Woodworth,7.5
K018,P.S. 018 Edward Bush,7.166666666666667
K019,P.S. 019 Roberto Clemente,7.0
K020,P.S. 020 Clinton Hill,7.8
K021,P.S. 021 Crispus Attucks,7.666666666666667
K022,P.S. 022,7.166666666666667
K023,P.S. 023 Carter G. Woodson,7.0
K024,P.S. 024,6.5
K025,P.S. 025 Eubie Blake School,7.666666666666667
K026,P.S. 026 Jesse Owens,8.0
K026,P.S. 026 Jesse Owens,8.0
K027,Agnes Y. Humphrey School for Leadership,7.470588235294118
K028,P.S. 028 The Warren Prep Academy,8.0
K029,P.S. 029 John M. Harrigan,7.571428571428571
K030,P.S./I.S. 30 Mary White Ovington,7.75
K031,P.S. 031 Samuel F. Dupont,8.0
K032,P.S. 032 Samuel Mills Sprole,7.384615384615385
K033,JHS 033 Mark Hopkins,7.0
K034,P.S. 034 Oliver H. Perry,8.0
K035,M.S. 035 Stephen Decatur,7.666666666666667
K036,P.S. 36,6.75
K037,Beginning with Children Charter School II,8.0
K038,P.S. 038 The Pacific,7.7
K039,P.S. 039 Henry Bristow,7.428571428571429
K040,P.S. 040 George W. Carver,8.0
K041,P.S. 041 Francis White,7.2
K041,P.S. 041 Francis White,7.2
K044,P.S. 044 Marcus Garvey,
K045,P.S./I.S. 045 Horace E. Greene,7.5
K046,P.S. 046 Edward C. Blum,7.8
K048,P.S. 048 Mapleton,7.5
K049,J.H.S. 049 William J. Gaynor,7.0
K050,J.H.S. 050 John D. Wells,7.5
K051,M.S. 51 William Alexander,7.181818181818182
K052,P.S. 052 Sheepshead Bay,7.714285714285714
K053,P.S. K053,7.2
K054,P.S. 054 Samuel C. Barnes,7.166666666666667
K055,I.S. 055 Ocean Hill Brownsville,6.5
K056,P.S. 056 Lewis H. Latimer,7.25
K057,Whitelaw Reid Academy of Arts and Business,8.0
K058,P.S. 058 The Carroll,7.387096774193548
K059,P.S. 059 William Floyd,7.666666666666667
K061,M.S. 061 Dr. Gladstone H. Atwell,8.0
K062,J.H.S. 062 Ditmas,8.0
K065,P.S. 065,7.75
K066,P.S. 66,7.666666666666667
K067,P.S. 067 Charles A. Dorsey,7.961538461538462
K068,I.S. 068 Isaac Bildersee,7.0
K069,P.S. 69 Vincent D. Grippo School,
K069,P.S. 69 Vincent D. Grippo School,
K071,Juan Morel Campos Secondary School,8.0
K072,P.S./I.S. 072 Annette P Goldman,
K073,P.S. 073 Thomas S. Boyland,7.666666666666667
K075,P.S. 075 Mayda Cortiella,8.0
K077,P.S. K077,7.529411764705882
K078,J.H.S. 078 Roy H. Mann,
K081,P.S. 081 Thaddeus Stevens,7.75
K084,P.S. 084 Jose De Diego,7.4
K086,P.S. 086 The Irvington,7.5
K088,J.H.S. 088 Peter Rouget,7.2
K089,P.S. 089 Cypress Hills,8.090909090909092
K090,P.S. 90 Edna Cohen School,8.166666666666666
K091,P.S. 091 The Albany Avenue School,9.0
K092,P.S. 092 Adrian Hegeman,7.5
K093,P.S. 093 William H. Prescott,7.0
K094,P.S. 094 The Henry Longfellow,7.0
K095,P.S. 095 The Gravesend,8.0
K096,I.S. 096 Seth Low,
K097,P.S. 97 The Highlawn,
K098,I.S. 98 Bay Academy,7.785714285714286
K099,P.S. 099 Isaac Asimov,8.4
K100,P.S. 100 The Coney Island School,7.25
K101,P.S. 101 The Verrazano,8.0
K102,P.S. 102 The Bayview,8.0
K103,Satellite Three,7.25
K104,P.S./I.S. 104 The Fort Hamilton School,7.0
K105,P.S. 105 The Blythebourne,7.25
K106,P.S. 106 Edward Everett Hale,7.666666666666667
K107,P.S. 107 John W. Kimball,8.5
K108,P.S. 108 Sal Abbracciamento,8.222222222222221
K109,P.S. 109,6.666666666666667
K109,P.S. 109,6.666666666666667
K110,P.S. 110 The Monitor,6.625
K112,P.S. 112 Lefferts Park,8.0
K113,M.S. 113 Ronald Edmonds Learning Center,7.730769230769231
K114,P.S. 114 Ryder Elementary,7.6
