average_rating,year,DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
6.833333333333333,2017,15K001,P.S. 001 The Bergen,37%,94%,94%,98%,95%,97%,97%,95%,94%,98%,96%,96%,96%,96%,98%,94%,94%,96%,89%
8.0,2017,17K002,Parkside Preparatory Academy,38%,87%,90%,97%,92%,94%,96%,94%,95%,92%,92%,89%,97%,95%,91%,94%,95%,94%,88%
6.0,2017,13K003,P.S. 003 The Bedford Village,40%,92%,96%,99%,98%,97%,98%,99%,98%,96%,97%,96%,98%,98%,98%,98%,96%,98%,89%
6.8,2017,75K004,P.S. K004,65%,98%,99%,98%,98%,98%,98%,98%,96%,98%,97%,99%,97%,99%,99%,99%,96%,97%,91%
7.0,2017,17K006,Norma Adams Clemons Academy,49%,90%,90%,95%,91%,95%,94%,89%,90%,91%,90%,90%,89%,90%,94%,92%,91%,96%,90%
7.4,2017,19K007,P.S. 007 Abraham Lincoln,88%,93%,96%,98%,95%,98%,97%,97%,97%,97%,95%,96%,97%,96%,97%,97%,97%,97%,92%
8.428571428571429,2017,13K008,P.S. 008 Robert Fulton,46%,86%,88%,96%,91%,93%,90%,90%,89%,93%,95%,90%,94%,94%,97%,92%,92%,94%,95%
7.5,2017,13K009,P.S. 009 Teunis G. Bergen,54%,90%,91%,97%,94%,97%,96%,96%,94%,96%,97%,92%,97%,98%,97%,97%,94%,94%,95%
7.411764705882353,2017,13K011,P.S. 011 Purvis J. Behan,74%,92%,92%,96%,93%,97%,95%,94%,94%,95%,95%,91%,96%,96%,97%,95%,94%,93%,94%
6.5,2017,17K012,Dr. Jacqueline Peek-Davis School,47%,90%,92%,97%,87%,98%,93%,92%,98%,95%,95%,93%,96%,100%,99%,96%,93%,95%,93%
6.0,2017,19K013,P.S. 013 Roberto Clemente,58%,89%,87%,93%,87%,93%,88%,87%,88%,90%,87%,89%,89%,92%,91%,88%,88%,89%,93%
8.166666666666666,2017,22K014,J.H.S. 014 Shell Bank,44%,86%,89%,92%,88%,93%,93%,92%,90%,91%,88%,92%,94%,91%,91%,94%,93%,95%,75%
7.483870967741935,2017,15K015,P.S. 015 Patrick F. Daly,56%,89%,92%,96%,90%,96%,95%,94%,94%,94%,93%,93%,95%,95%,95%,96%,94%,93%,93%
7.2,2017,14K016,P.S. 016 Leonard Dunkly,100%,95%,97%,99%,94%,97%,92%,92%,93%,97%,90%,93%,96%,96%,97%,97%,95%,97%,92%
7.5,2017,14K017,P.S. 017 Henry D. Woodworth,61%,90%,90%,95%,94%,95%,96%,93%,91%,93%,94%,94%,91%,91%,97%,97%,97%,97%,95%
7.166666666666667,2017,14K018,P.S. 018 Edward Bush,94%,90%,89%,95%,96%,97%,96%,96%,95%,94%,95%,93%,97%,96%,93%,95%,91%,92%,88%
7.8,2017,13K020,P.S. 020 Clinton Hill,50%,88%,93%,97%,94%,97%,96%,95%,94%,96%,95%,95%,98%,97%,97%,95%,95%,96%,97%
7.666666666666667,2017,16K021,P.S. 021 Crispus Attucks,56%,89%,91%,97%,93%,97%,96%,95%,95%,95%,93%,93%,95%,96%,97%,95%,95%,97%,94%
7.0,2017,14K023,P.S. 023 Carter G. Woodson,92%,95%,98%,98%,98%,99%,98%,98%,99%,97%,97%,97%,98%,98%,98%,99%,99%,99%,93%
6.5,2017,15K024,P.S. 024,45%,94%,95%,96%,95%,98%,96%,95%,95%,97%,94%,97%,96%,97%,95%,96%,95%,96%,93%
7.666666666666667,2017,16K025,P.S. 025 Eubie Blake School,71%,98%,97%,97%,100%,95%,97%,97%,95%,97%,93%,97%,97%,92%,97%,97%,95%,94%,97%
8.0,2017,16K026,P.S. 026 Jesse Owens,94%,96%,95%,99%,97%,99%,98%,98%,95%,96%,96%,97%,97%,97%,99%,97%,93%,97%,97%
8.0,2017,16K028,P.S. 028 The Warren Prep Academy,58%,95%,93%,96%,89%,96%,96%,95%,93%,95%,90%,92%,94%,96%,88%,99%,96%,99%,92%
7.571428571428571,2017,15K029,P.S. 029 John M. Harrigan,74%,96%,98%,98%,98%,99%,98%,99%,98%,97%,99%,96%,98%,98%,97%,98%,99%,97%,97%
7.75,2017,20K030,P.S./I.S. 30 Mary White Ovington,61%,97%,97%,98%,97%,98%,97%,96%,96%,97%,97%,96%,97%,98%,98%,99%,99%,99%,90%
8.0,2017,14K031,P.S. 031 Samuel F. Dupont,72%,95%,95%,98%,97%,98%,97%,96%,96%,97%,96%,97%,97%,96%,99%,99%,99%,98%,93%
7.384615384615385,2017,15K032,P.S. 032 Samuel Mills Sprole,73%,90%,92%,96%,91%,95%,92%,94%,93%,95%,94%,92%,94%,96%,97%,93%,94%,94%,92%
8.0,2017,14K034,P.S. 034 Oliver H. Perry,88%,93%,92%,95%,94%,94%,92%,88%,87%,95%,89%,92%,90%,90%,94%,95%,94%,93%,93%
7.666666666666667,2017,16K035,M.S. 035 Stephen Decatur,98%,96%,96%,98%,97%,98%,98%,97%,97%,99%,97%,98%,99%,100%,98%,99%,96%,99%,97%
6.75,2017,75K036,P.S. 36,75%,99%,99%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,99%,100%,99%,100%,98%
7.7,2017,15K038,P.S. 038 The Pacific,60%,97%,99%,99%,94%,94%,90%,90%,88%,100%,95%,99%,94%,95%,99%,95%,100%,99%,95%
7.428571428571429,2017,15K039,P.S. 039 Henry Bristow,61%,97%,97%,99%,98%,96%,89%,90%,88%,97%,95%,95%,96%,97%,99%,99%,97%,98%,96%
8.0,2017,16K040,P.S. 040 George W. Carver,46%,96%,96%,97%,97%,98%,97%,96%,96%,95%,98%,96%,97%,97%,97%,97%,97%,98%,94%
7.2,2017,23K041,P.S. 041 Francis White,22%,87%,85%,96%,90%,94%,96%,91%,94%,92%,95%,93%,95%,95%,93%,99%,92%,94%,85%
7.5,2017,32K045,P.S./I.S. 045 Horace E. Greene,67%,95%,96%,98%,98%,98%,98%,98%,97%,97%,97%,97%,98%,98%,98%,99%,97%,98%,96%
7.8,2017,13K046,P.S. 046 Edward C. Blum,74%,88%,93%,95%,89%,94%,91%,86%,87%,95%,85%,93%,89%,92%,94%,92%,96%,97%,89%
7.5,2017,20K048,P.S. 048 Mapleton,90%,93%,93%,98%,95%,95%,97%,96%,96%,97%,95%,96%,97%,96%,99%,98%,95%,98%,92%
7.5,2017,14K050,J.H.S. 050 John D. Wells,63%,90%,96%,97%,96%,97%,96%,96%,96%,96%,97%,92%,96%,96%,96%,97%,97%,95%,92%
7.181818181818182,2017,15K051,M.S. 51 William Alexander,47%,73%,74%,94%,81%,92%,91%,92%,88%,87%,96%,84%,93%,88%,99%,92%,94%,94%,92%
7.714285714285714,2017,22K052,P.S. 052 Sheepshead Bay,46%,94%,93%,97%,94%,95%,96%,96%,95%,93%,94%,94%,96%,96%,96%,95%,91%,95%,89%
7.2,2017,75K053,P.S. K053,47%,92%,94%,98%,94%,96%,94%,94%,93%,95%,96%,96%,94%,94%,96%,95%,95%,96%,85%
7.166666666666667,2017,13K054,P.S. 054 Samuel C. Barnes,65%,95%,94%,98%,96%,97%,97%,97%,97%,97%,97%,97%,98%,98%,96%,97%,94%,96%,90%
7.25,2017,13K056,P.S. 056 Lewis H. Latimer,94%,92%,92%,98%,96%,100%,97%,99%,97%,97%,99%,98%,96%,97%,98%,99%,98%,96%,94%
7.387096774193548,2017,15K058,P.S. 058 The Carroll,53%,93%,91%,99%,95%,95%,94%,92%,90%,95%,97%,94%,93%,94%,98%,97%,97%,96%,94%
7.666666666666667,2017,14K059,P.S. 059 William Floyd,72%,95%,95%,98%,97%,98%,98%,97%,97%,98%,97%,95%,98%,98%,96%,98%,97%,98%,95%
8.0,2017,17K061,M.S. 061 Dr. Gladstone H. Atwell,43%,85%,86%,96%,87%,95%,93%,88%,90%,93%,88%,92%,93%,91%,89%,93%,90%,91%,86%
8.0,2017,20K062,J.H.S. 062 Ditmas,64%,88%,89%,97%,91%,95%,97%,97%,96%,94%,96%,92%,97%,96%,95%,96%,94%,96%,77%
7.75,2017,19K065,P.S. 065,100%,96%,98%,99%,97%,98%,98%,97%,98%,97%,98%,97%,98%,98%,98%,97%,98%,99%,93%
7.666666666666667,2017,18K066,P.S. 66,51%,82%,88%,98%,89%,97%,93%,91%,92%,95%,89%,91%,93%,92%,96%,93%,92%,94%,90%
7.961538461538462,2017,13K067,P.S. 067 Charles A. Dorsey,86%,86%,87%,94%,89%,94%,92%,92%,89%,93%,91%,93%,95%,96%,91%,95%,90%,94%,93%
7.0,2017,18K068,I.S. 068 Isaac Bildersee,32%,89%,92%,99%,94%,98%,96%,94%,95%,96%,94%,96%,93%,91%,92%,92%,93%,95%,89%
