year,DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
2017,01M015,P.S. 015 Roberto Clemente,88%,96%,96%,96%,94%,92%,96%,94%,94%,96%,94%,94%,96%,95%,94%,96%,92%,95%,94%
2017,01M019,P.S. 019 Asher Levy,100%,96%,97%,97%,96%,96%,94%,92%,93%,98%,93%,96%,94%,93%,98%,96%,96%,98%,73%
2017,01M020,P.S. 020 Anna Silver,60%,88%,89%,95%,90%,95%,93%,91%,91%,93%,91%,91%,91%,94%,95%,95%,89%,90%,91%
2017,01M034,P.S. 034 Franklin D. Roosevelt,29%,92%,89%,93%,91%,96%,91%,87%,91%,87%,92%,92%,91%,92%,92%,95%,94%,94%,91%
2017,01M063,The Star Academy - P.S.63,72%,96%,94%,98%,93%,98%,93%,93%,93%,98%,94%,95%,97%,98%,98%,98%,94%,97%,92%
2017,01M064,P.S. 064 Robert Simon,39%,90%,95%,96%,91%,96%,94%,94%,94%,91%,97%,92%,95%,97%,95%,94%,92%,96%,92%
2017,01M110,P.S. 110 Florence Nightingale,72%,88%,91%,96%,90%,93%,91%,94%,92%,95%,90%,91%,93%,95%,97%,94%,93%,95%,87%
2017,01M134,P.S. 134 Henrietta Szold,60%,93%,94%,97%,93%,95%,90%,88%,88%,92%,85%,90%,88%,84%,90%,91%,96%,97%,93%
2017,01M140,P.S. 140 Nathan Straus,72%,90%,92%,96%,91%,95%,94%,89%,88%,90%,88%,92%,92%,92%,93%,94%,94%,95%,87%
2017,01M142,P.S. 142 Amalia Castro,97%,95%,96%,97%,97%,97%,96%,95%,95%,96%,94%,95%,96%,96%,96%,95%,97%,97%,91%
2017,01M184,P.S. 184M Shuang Wen,74%,86%,88%,97%,87%,92%,81%,77%,75%,94%,84%,91%,77%,77%,98%,94%,91%,93%,88%
2017,01M188,P.S. 188 The Island School,97%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,98%,99%,99%,99%,97%
2017,01M292,Orchard Collegiate Academy,63%,86%,89%,95%,86%,96%,98%,95%,96%,89%,92%,88%,95%,95%,95%,91%,92%,95%,84%
2017,01M301,"Technology, Arts, And Sciences Studio",25%,100%,97%,97%,97%,100%,100%,97%,93%,86%,100%,89%,89%,90%,93%,93%,97%,97%,97%
2017,01M315,The East Village Community School,65%,97%,95%,99%,98%,97%,97%,97%,99%,97%,99%,97%,99%,99%,100%,99%,99%,98%,100%
2017,01M332,University Neighborhood Middle School,66%,80%,87%,93%,89%,94%,94%,92%,92%,92%,88%,91%,94%,94%,92%,92%,87%,92%,82%
2017,01M361,The Children'S Workshop School,33%,86%,90%,98%,91%,95%,94%,93%,86%,95%,90%,93%,94%,96%,99%,95%,94%,95%,96%
2017,01M363,Neighborhood School,70%,90%,91%,97%,95%,95%,94%,93%,92%,93%,97%,93%,93%,96%,99%,96%,92%,93%,96%
2017,01M364,Earth School,62%,93%,95%,97%,97%,92%,92%,94%,91%,95%,95%,95%,93%,95%,97%,98%,97%,98%,98%
2017,01M378,School For Global Leaders,68%,96%,96%,98%,97%,98%,98%,100%,99%,99%,96%,99%,98%,98%,97%,97%,98%,99%,93%
2017,01M448,University Neighborhood High School,34%,93%,93%,98%,96%,100%,98%,99%,97%,97%,96%,94%,97%,96%,97%,98%,98%,97%,80%
2017,01M450,East Side Community School,57%,92%,92%,97%,95%,97%,97%,97%,97%,96%,97%,96%,98%,97%,96%,96%,98%,97%,90%
2017,01M458,Forsyth Satellite Academy,28%,93%,93%,98%,90%,95%,95%,90%,95%,97%,92%,95%,95%,95%,93%,100%,100%,100%,72%
2017,01M509,Marta Valle High School,17%,81%,81%,90%,77%,94%,90%,90%,81%,89%,84%,86%,83%,86%,83%,81%,87%,81%,88%
2017,01M515,Lower East Side Preparatory High School,56%,97%,97%,99%,98%,99%,99%,100%,100%,98%,99%,98%,99%,99%,98%,97%,97%,99%,86%
2017,01M539,"New Explorations Into Science, Technology And Math High School",65%,87%,86%,97%,90%,90%,86%,84%,85%,93%,94%,87%,90%,90%,97%,92%,93%,93%,89%
2017,01M650,Cascades High School,10%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,100%,100%,94%,94%,89%
2017,01M696,Bard High School Early College,52%,90%,89%,99%,94%,97%,98%,96%,96%,94%,98%,91%,97%,98%,97%,98%,99%,99%,83%
2017,01M839,Tompkins Square Middle School,49%,92%,94%,99%,96%,99%,98%,98%,98%,99%,95%,95%,99%,99%,98%,99%,99%,98%,90%
2017,02M001,P.S. 001 Alfred E. Smith,70%,98%,97%,98%,98%,100%,97%,97%,97%,99%,96%,97%,98%,98%,99%,97%,96%,97%,88%
2017,02M002,P.S. 002 Meyer London,81%,96%,96%,99%,98%,99%,99%,96%,96%,98%,96%,97%,97%,96%,99%,98%,97%,98%,88%
2017,02M003,P.S. 003 Charrette School,50%,94%,94%,97%,96%,95%,93%,93%,89%,96%,96%,95%,94%,96%,98%,98%,96%,97%,96%
2017,02M006,P.S. 006 Lillie D. Blake,46%,91%,90%,96%,92%,95%,92%,92%,85%,96%,90%,96%,91%,94%,97%,96%,94%,95%,98%
2017,02M011,P.S. 011 William T. Harris,63%,92%,94%,97%,94%,96%,95%,98%,95%,96%,96%,95%,97%,97%,98%,96%,95%,96%,95%
2017,02M033,P.S. 033 Chelsea Prep,63%,94%,93%,98%,94%,95%,90%,87%,86%,95%,92%,92%,91%,92%,91%,92%,95%,97%,92%
2017,02M040,P.S. 040 Augustus Saint-Gaudens,46%,96%,96%,97%,95%,97%,97%,99%,96%,97%,98%,94%,96%,99%,99%,96%,96%,97%,96%
2017,02M041,P.S. 041 Greenwich Village,56%,94%,92%,98%,97%,97%,97%,98%,95%,95%,98%,93%,96%,95%,97%,97%,96%,96%,99%
2017,02M042,P.S. 042 Benjamin Altman,96%,98%,98%,99%,99%,100%,99%,99%,99%,99%,99%,98%,99%,99%,100%,99%,97%,99%,91%
2017,02M047,47 The American Sign Language And English Secondary School,12%,85%,90%,100%,100%,95%,95%,95%,95%,94%,95%,88%,93%,89%,89%,100%,94%,95%,68%
2017,02M051,P.S. 051 Elias Howe,68%,96%,97%,98%,96%,98%,96%,96%,97%,97%,96%,95%,97%,97%,98%,97%,99%,98%,94%
2017,02M059,P.S. 059 Beekman Hill International,66%,94%,94%,97%,96%,97%,95%,97%,94%,98%,97%,95%,97%,96%,97%,98%,93%,96%,98%
2017,02M077,P.S. 77 Lower Lab School,76%,93%,95%,99%,92%,78%,72%,70%,64%,96%,93%,94%,73%,76%,95%,94%,95%,96%,99%
2017,02M089,P.S. 89,70%,95%,96%,99%,98%,99%,98%,98%,96%,98%,98%,97%,98%,98%,97%,97%,96%,97%,100%
2017,02M104,J.H.S. 104 Simon Baruch,71%,84%,85%,97%,89%,96%,96%,96%,95%,94%,93%,91%,96%,94%,95%,96%,96%,97%,82%
2017,02M111,P.S. 111 Adolph S. Ochs,44%,91%,89%,96%,94%,98%,96%,94%,94%,96%,93%,95%,97%,96%,98%,95%,91%,91%,87%
2017,02M114,East Side Middle School,58%,85%,86%,97%,91%,97%,98%,98%,93%,92%,97%,95%,96%,95%,100%,94%,95%,97%,97%
2017,02M116,P.S. 116 Mary Lindley Murray,41%,91%,92%,97%,94%,94%,93%,91%,87%,95%,91%,94%,92%,92%,97%,92%,87%,94%,94%
2017,02M124,P.S. 124 Yung Wing,100%,96%,95%,97%,96%,98%,96%,97%,97%,96%,97%,95%,96%,96%,99%,98%,95%,95%,91%
2017,02M126,P.S. 126 Jacob August Riis,37%,92%,93%,99%,96%,99%,98%,98%,97%,99%,96%,96%,97%,97%,98%,96%,96%,97%,88%
2017,02M130,P.S. 130 Hernando De Soto,75%,96%,96%,99%,95%,99%,98%,98%,98%,98%,98%,97%,98%,98%,99%,99%,96%,97%,94%
2017,02M131,M.S. 131,56%,92%,89%,97%,95%,98%,97%,97%,96%,97%,98%,96%,96%,97%,96%,97%,93%,97%,82%
2017,02M135,The Urban Assembly School For Emergency Management,34%,89%,91%,96%,97%,97%,99%,98%,98%,94%,96%,95%,97%,97%,92%,97%,93%,97%,71%
2017,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,29%,91%,90%,96%,96%,95%,95%,95%,95%,94%,95%,94%,96%,95%,93%,98%,99%,99%,90%
2017,02M150,P.S. 150,93%,96%,97%,98%,97%,95%,92%,94%,90%,97%,97%,98%,94%,94%,99%,96%,99%,99%,98%
2017,02M151,Yorkville Community School,56%,93%,94%,100%,93%,95%,95%,96%,94%,98%,97%,96%,96%,96%,97%,95%,97%,99%,97%
2017,02M158,P.S. 158 Bayard Taylor,70%,94%,95%,99%,94%,98%,97%,97%,96%,97%,98%,93%,98%,98%,98%,97%,97%,98%,94%
2017,02M167,J.H.S. 167 Robert F. Wagner,71%,82%,82%,97%,89%,97%,96%,97%,95%,92%,94%,89%,96%,95%,95%,93%,93%,94%,85%
2017,02M177,Yorkville East Middle School,52%,87%,94%,99%,94%,97%,98%,100%,97%,94%,99%,95%,97%,96%,99%,98%,98%,98%,89%
2017,02M183,P.S. 183 Robert L. Stevenson,61%,94%,95%,98%,95%,94%,94%,96%,90%,98%,95%,95%,93%,95%,98%,97%,98%,97%,95%
2017,02M198,P.S. 198 Isador E. Ida Straus,91%,97%,97%,99%,97%,98%,97%,97%,96%,98%,97%,96%,97%,97%,97%,98%,96%,98%,95%
2017,02M212,P.S. 212 Midtown West,87%,93%,93%,94%,95%,95%,95%,95%,94%,93%,97%,91%,96%,96%,95%,97%,94%,94%,97%
2017,02M217,P.S./I.S. 217 Roosevelt Island,69%,93%,92%,96%,94%,95%,90%,90%,88%,97%,86%,96%,93%,91%,98%,97%,95%,97%,94%
2017,02M225,Ella Baker School,48%,94%,94%,98%,93%,93%,93%,92%,90%,94%,94%,90%,90%,90%,95%,97%,97%,98%,96%
2017,02M234,P.S. 234 Independence School,69%,93%,94%,99%,96%,97%,97%,97%,96%,98%,97%,97%,97%,97%,99%,96%,96%,96%,98%
2017,02M255,M.S. 255 Salk School Of Science,70%,93%,96%,100%,98%,99%,100%,100%,99%,98%,98%,97%,100%,99%,100%,98%,98%,98%,94%
2017,02M260,M.S. 260 Clinton School Writers & Artists,52%,92%,93%,99%,97%,99%,98%,98%,97%,96%,97%,96%,97%,97%,100%,98%,99%,100%,93%
2017,02M267,"East Side Elementary School, Ps 267",64%,88%,90%,97%,90%,83%,88%,90%,78%,95%,94%,94%,86%,89%,97%,95%,95%,95%,96%
2017,02M276,Battery Park City School,40%,86%,87%,94%,89%,93%,90%,90%,85%,94%,92%,89%,92%,93%,95%,92%,90%,92%,95%
2017,02M280,Manhattan Early College School For Advertising,40%,86%,84%,95%,92%,94%,93%,92%,93%,95%,92%,89%,95%,96%,91%,94%,95%,96%,90%
2017,02M281,The River School,89%,98%,98%,98%,99%,98%,98%,97%,98%,99%,98%,98%,99%,99%,99%,98%,98%,98%,97%
2017,02M282,Urban Assembly Maker Academy,55%,94%,96%,99%,99%,99%,100%,100%,100%,96%,99%,96%,99%,99%,95%,99%,96%,97%,84%
2017,02M288,Food And Finance High School,14%,79%,76%,94%,88%,94%,92%,84%,87%,96%,85%,91%,96%,91%,94%,90%,84%,88%,82%
2017,02M289,I.S. 289,65%,90%,89%,96%,95%,97%,95%,98%,97%,95%,97%,94%,96%,96%,99%,98%,94%,96%,90%
2017,02M290,P.S. 290 Manhattan New School,71%,92%,93%,97%,94%,97%,95%,95%,94%,96%,95%,96%,96%,97%,99%,97%,95%,97%,95%
2017,02M294,Essex Street Academy,34%,90%,92%,94%,94%,95%,97%,96%,97%,94%,96%,93%,93%,91%,92%,96%,94%,97%,85%
2017,02M296,High School Of Hospitality Management,1%,,,,,,,,,,,,,,,,,,
2017,02M298,Pace High School,45%,82%,85%,96%,90%,97%,97%,94%,92%,94%,92%,91%,95%,96%,93%,97%,95%,95%,79%
2017,02M300,"Urban Assembly School Of Design And Construction, The",46%,90%,90%,95%,94%,96%,96%,93%,95%,95%,94%,94%,94%,95%,93%,94%,92%,93%,87%
2017,02M303,"Facing History School, The",46%,93%,96%,99%,98%,99%,99%,99%,99%,97%,99%,96%,99%,96%,98%,99%,97%,97%,78%
2017,02M305,"Urban Assembly Academy Of Government And Law, The",45%,83%,84%,95%,86%,91%,90%,85%,88%,90%,85%,93%,90%,83%,93%,95%,90%,91%,66%
2017,02M308,Lower Manhattan Arts Academy,24%,74%,81%,91%,80%,92%,90%,85%,87%,82%,91%,82%,93%,86%,95%,88%,88%,89%,70%
2017,02M312,New York City Lab Middle School For Collaborative Studies,48%,90%,90%,96%,93%,97%,96%,96%,96%,94%,98%,93%,95%,94%,96%,97%,97%,97%,88%
2017,02M313,"James Baldwin School, The: A School For Expeditionary Learning",35%,91%,92%,97%,96%,99%,97%,96%,95%,96%,99%,93%,99%,91%,96%,96%,97%,96%,84%
2017,02M316,"Urban Assembly School Of Business For Young Women, The",40%,80%,83%,96%,86%,94%,96%,88%,84%,92%,95%,90%,93%,89%,89%,94%,92%,89%,80%
2017,02M340,Sixth Avenue Elementary School,65%,89%,92%,96%,90%,97%,96%,97%,97%,95%,98%,95%,98%,99%,97%,98%,97%,96%,100%
2017,02M343,The Peck Slip School,84%,90%,90%,96%,90%,91%,92%,92%,91%,94%,98%,94%,92%,93%,98%,95%,92%,95%,96%
2017,02M347,The 47 American Sign Language & English Lower School,34%,85%,86%,94%,92%,90%,86%,88%,88%,92%,94%,89%,89%,85%,94%,90%,88%,93%,80%
2017,02M374,Gramercy Arts High School,13%,79%,78%,97%,87%,88%,93%,93%,88%,91%,91%,89%,90%,82%,97%,88%,91%,98%,86%
2017,02M376,Nyc Ischool,45%,90%,90%,97%,91%,96%,97%,97%,94%,97%,99%,93%,97%,96%,99%,98%,98%,99%,91%
2017,02M392,Manhattan Business Academy,35%,86%,89%,97%,92%,94%,96%,94%,91%,95%,90%,93%,97%,89%,95%,96%,96%,96%,78%
2017,02M393,Business Of Sports School,12%,87%,90%,100%,94%,100%,100%,96%,100%,92%,94%,94%,96%,98%,100%,92%,86%,94%,90%
2017,02M394,Emma Lazarus High School,77%,95%,97%,99%,99%,99%,100%,98%,98%,98%,99%,95%,97%,96%,98%,98%,96%,99%,77%
2017,02M397,Spruce Street School,62%,91%,92%,99%,91%,90%,88%,89%,85%,97%,92%,91%,89%,88%,96%,92%,93%,97%,95%
2017,02M399,The High School For Language And Diplomacy,9%,76%,71%,88%,76%,88%,88%,85%,88%,85%,88%,84%,85%,85%,91%,76%,84%,87%,79%
2017,02M400,High School For Environmental Studies,10%,84%,88%,95%,90%,94%,94%,93%,91%,92%,93%,90%,93%,93%,91%,94%,93%,92%,76%
2017,02M407,Institute For Collaborative Education,35%,92%,94%,100%,95%,98%,98%,97%,96%,95%,99%,92%,96%,96%,99%,97%,98%,98%,93%
2017,02M408,Professional Performing Arts High School,37%,79%,81%,95%,86%,97%,92%,94%,90%,91%,92%,87%,94%,93%,96%,92%,93%,92%,93%
2017,02M411,Baruch College Campus High School,37%,88%,89%,97%,93%,95%,94%,93%,89%,92%,93%,93%,90%,88%,97%,97%,97%,96%,85%
2017,02M412,N.Y.C. Lab School For Collaborative Studies,36%,94%,91%,97%,95%,98%,97%,97%,97%,97%,98%,97%,99%,97%,98%,97%,96%,97%,85%
